key_name,en_US,comment
"The order is confirmed, you will receive the funds under 30 days.","The order is confirmed, you will receive the funds under 30 days.",
The payer got redirected to their bank and needs to authenticate.,The payer got redirected to their bank and needs to authenticate.,
The payment has been cancelled and the transaction could not be completed.,The payment has been cancelled and the transaction could not be completed.,
The payment has been completed with a higher amount.,The payment has been completed with a higher amount.,
The payment has been dropped by the payer.,The payment has been dropped by the payer.,
The payment has been validated by the bank.,The payment has been validated by the bank.,
The payment has failed for technical reasons.,The payment has failed for technical reasons.,
The payment has failed. Please select another bank or another payment method.,The payment has failed. Please select another bank or another payment method.,
The payment link has expired.,The payment link has expired.,
The payment was rejected by either the payer or the bank.,The payment was rejected by either the payer or the bank.,
The payment was unsuccessful. Please choose a different bank or different payment method.,The payment was unsuccessful. Please choose a different bank or different payment method.,
The refund has been made.,The refund has been made.,
The refund has failed.,The refund has failed.,
The refund link has been send.,The refund link has been send.,
The refund of %1€ has been made.,The refund of %1€ has been made.,
"This payment method is currently unavailable for your configured account. For further details, please consult the Virement Maitrisé console.","This payment method is currently unavailable for your configured account. For further details, please consult the Virement Maitrisé console.",
This section is intended for advanced users. Changing the settings may impact the proper functioning of your system.,This section is intended for advanced users. Changing the settings may impact the proper functioning of your system.,
Title,Title,
Today,Today,
traditional bank transfer,traditional bank transfer,
Unhandled status.,Unhandled status.,
We can't place the order.,We can't place the order.,
Wire transfer,Wire transfer,
"You are a professional, buy now and pay in 30 days without any fees on the transaction.","You are a professional, buy now and pay in 30 days without any fees on the transaction.",
You must proceed to the refund directly from the Virement Maitrisé Console with this type of account.,You must proceed to the refund directly from the Virement Maitrisé Console with this type of account.,
You will be automatically redirected to your secured bank environment to confirm your payment.,You will be automatically redirected to your secured bank environment to confirm your payment.,
Your payment link has been sent successfully,Your payment link has been sent successfully,
Your payment with Virement Maitrisé has been successfully processed!,Your payment with Virement Maitrisé has been successfully processed!,
Your payment with Virement Maitrisé is currently being processed by your bank. You can track the status of your payment using the link provided in the confirmation email.,Your payment with Virement Maitrisé is currently being processed by your bank. You can track the status of your payment using the link provided in the confirmation email.,
Your purchase is confirmed!,Your purchase is confirmed!,
The payment has been cancelled by either the payer or the merchant.,The payment has been cancelled by either the payer or the merchant.
